Fecha: 09:25 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:25 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:25 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:27 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:27 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:28 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:28 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:28 09-12-2025 | Mensaje: SQLSTATE[HY000]: General error: 1 no such table: usuarios | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\models\usuarios.php | Línea: 84 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type bool | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type null | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: SQLSTATE[HY000] [14] unable to open database file | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 18 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type bool | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type null | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: SQLSTATE[HY000] [14] unable to open database file | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 18 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type bool | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type null | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: SQLSTATE[HY000] [14] unable to open database file | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 18 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type bool | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: Trying to access array offset on value of type null | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 16 | Usuario: Anonimo | IP: ::1
Fecha: 09:31 09-12-2025 | Mensaje: SQLSTATE[HY000] [14] unable to open database file | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\ProgramacionBack\PHP\Repaso\db.php | Línea: 18 | Usuario: Anonimo | IP: ::1
